title,year,rating,poster
Avatar,2009,7.9,https://m.media-amazon.com/images/M/MV5BZDA0OGQxNTItMDZkMC00N2UyLTg3MzMtYTJmNjg3Nzk5MzRiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
The Lord of the Rings: The Return of the King,2003,9.0,https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
Pulp Fiction,1994,8.9,https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
Fight Club,1999,8.8,https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
Inception,2010,8.8,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg
The Fast and the Furious: Tokyo Drift,2006,6.0,https://m.media-amazon.com/images/M/MV5BMTQ2NTMxODEyNV5BMl5BanBnXkFtZTcwMDgxMjA0MQ@@._V1_SX300.jpg
Japan,2002,6.9,https://m.media-amazon.com/images/M/MV5BMTg5NTk2ODcxN15BMl5BanBnXkFtZTgwMDQ1Njg1NzM@._V1_SX300.jpg
Titanic,1997,7.9,https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg
Grad,1963,7.3,https://m.media-amazon.com/images/M/MV5BMmU2Yzc2MGEtOGI2NC00YTJiLWIzZjQtNGIyNjRkYjA5ODAxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjEyODkyNw@@._V1_SX300.jpg
Winter,2020,5.2,https://m.media-amazon.com/images/M/MV5BZTRkNzU4ZmMtM2I4Yi00ODFkLWFkMzQtNTY3NTE3Y2JkZTRiXkEyXkFqcGdeQXVyMTE0MzQzMzQ4._V1_SX300.jpg
Spring,2014,6.7,https://m.media-amazon.com/images/M/MV5BMjMwNzM2OTk3OF5BMl5BanBnXkFtZTgwNjExOTU0NDE@._V1_SX300.jpg
Taxi,1998,7.0,https://m.media-amazon.com/images/M/MV5BODFmMWY3ZWQtMTBhNy00MzE4LWIxODYtNTFmMzczMzY1YmNjXkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_SX300.jpg
